moral_eng,immoral_eng,moral_chi,immoral_chi,immoral_fra,moral_fra,moral_rus,immoral_rus,immoral_ger,moral_ger,moral_ita,immoral_ita
good,evil,好,邪恶,mal,bien,хорошо,зло,teuflisch,gut,Buona,il male
moral,immoral,道德,坏,immoral,moral,моральный,аморальный,unmoralisch,Moral-,morale,immorale
good,bad,诚实,有罪,mal,bien,хорошо,плохой,Schlecht,gut,Buona,cattivo
honest,dishonest,贤惠,恶,malhonnête,honnête,честный,нечестный,unehrlich,ehrlich,onesto,disonesto
virtuous,sinful,美德,越界,coupable,vertueux,добродетельный,грешный,sündig,tugendhaft,virtuoso,peccaminoso
virtue,vice,正义,可疑,vice,vertu,добродетель,порок,Vize,Tugend,virtù,vice
righteous,wicked,贞洁,腐败,méchant,vertueux,праведный,безнравственный,böse,gerecht,giusto,malvagio
chaste,transgressive,原则,肆无忌惮,transgressif,chaste,целомудренный,трансгрессивный,transgressiv,keusch,casto,trasgressivo
principled,unprincipled,高贵,自私,sans scrupules,de principe,принципиальный,беспринципный,prinzipienlos,prinzipiell,di principio,senza principi
unquestionable,questionable,廉洁,无赖,discutable,incontestable,несомненный,под вопросом,fraglich,unbestreitbar,indiscutibile,discutibile
noble,nefarious,不苟,歪,infâme,noble,благородный,гнусный,schändlich,edel,nobile,nefasto
uncorrupt,corrupt,利他,谴责,corrompu,non corrompu,неподкупный,коррумпированный,korrupt,unbestechlich,incorrotto,corrotto
scrupulous,unscrupulous,侠义,不纯,sans scrupules,scrupuleux,скрупулезный,недобросовестный,skrupellos,gewissenhaft,scrupoloso,senza scrupoli
altruistic,selfish,诚实,恶魔,égoïste,altruiste,альтруистический,эгоистичный,egoistisch,altruistisch,altruista,egoista
chivalrous,knavish,称道,有罪,coquin,chevaleresque,рыцарский,мошенник,schurkisch,ritterlich,cavalleresco,furfante
honest,crooked,纯,不雅,courbé,honnête,честный,кривой,krumm,ehrlich,onesto,storto
commendable,reprehensible,凝重,讨厌,répréhensible,louable,похвально,предосудительный,verwerflich,lobenswert,lodevole,riprovevole
pure,impure,圣,,impur,pur,чистый,нечистый,unrein,rein,puro,impuro
dignified,undignified,英勇,,indigne,digne,достойный,недостойный,unwürdig,würdevoll,dignitoso,Senza dignità
holy,unholy,正直,,impie,Saint,святой,нечестивый,unheilig,heilig,Santo,empio
valiant,fiendish,无罪,,diabolique,vaillant,доблестный,дьявольский,teuflisch,tapfer,valoroso,diabolico
upstanding,villainous,体面,,infâme,droit,стоячий,злодейский,schurkisch,aufrecht,in piedi,malvagio
guiltless,guilty,贞洁,,coupable,innocent,невиновный,виновный,schuldig,schuldlos,senza colpa,colpevole
decent,indecent,正义,,indécent,décent,приличный,неприличный,unanständig,anständig,decente,indecente
chaste,unsavory,道德,,peu recommandable,chaste,целомудренный,неприятный,unappetitlich,keusch,casto,sgradevole
righteous,odious,,,odieux,vertueux,праведный,одиозный,abscheulich,gerecht,giusto,odioso
ethical,unethical,,,immoral,éthique,этический,неэтично,unethisch,ethisch,etico,non etico
